iter	RMSE
587	0.4586090974
588	0.4584983091
589	0.4584350362
590	0.4584259966
591	0.4583445817
592	0.4582183498
593	0.4581963094
594	0.4581079378
595	0.4580991245
596	0.4580196324
597	0.4579569105
598	0.4578171132
599	0.4576716075
600	0.4575450002
601	0.4574419556
602	0.4573333097
603	0.4572021915
604	0.4571944989
605	0.4570998447
606	0.456963633
607	0.456827092
608	0.456748239
609	0.45610	0.458610	0.4565685857
611	0.45612	0.458612	0.45613	0.458613	0.45614	0.457614	0.45615	0.457615	0.616	0.45762616	0.617	0.45748617	0.618	0.45736618	0.4556954971
619	0.4556165255
620	0.4555019606
621	0.4553519614
622	0.4552174951
623	0.4551469963
624	0.4550395591
625	0.4548679516
626	0.4547749729
627	0.4547673076
628	0.4546922703
629	0.4545322615
630	0.4543660389
631	0.4542957041
632	0.4541173942
633	0.4540068467
634	0.4539249959
635	0.4538082567
636	0.4537342511
637	0.4535618765
638	0.4535526379
639	0.4534263814
640	0.4533170755
641	0.4532433018
642	0.4531652191
643	0.4530433561
644	0.4529047818
645	0.4527719675
646	0.4527028824
647	0.4525882503
648	0.4524768212
649	0.4523904807
650	0.4523313868
651	0.4522488121
652	0.4521340936
653	0.4520550002
654	0.4518873576
655	0.4518007506
656	0.4517125505
657	0.4516174621
658	0.4515692494
659	0.4514045346
660	0.4512464478
661	0.4512112684
662	0.4511219419
663	0.4510573548
664	0.4510042799
665	0.4508709827
666	0.4508631577
667	0.4507452139
668	0.4506276913
669	0.4505459452
670	0.4504770918
671	0.4503775015
672	0.4502073961
673	0.4501233943
674	0.4500444397
675	0.4499733453
676	0.4498847473
677	0.4498133063
678	0.4496564299
679	0.4496161614
680	0.4494431064
681	0.4493579894
682	0.4492935753
683	0.4492618388
684	0.4491042566
685	0.4489535708
686	0.4489457027
687	0.4488529561
688	0.4487671975
689	0.4486818344
690	0.448562143
691	0.4484713691
692	0.4483405797
693	0.4482220116
694	0.4481982682
695	0.4480589536
696	0.4479632295
697	0.4479046635
698	0.4478131375
699	0.4478056886
700	0.4476686051
701	0.4475741091703	0.4489824059
704	0.4487911497
705	0.4487475841
706	0.4486089623
707	0.4485347866
708	0.44840300657709	0.4482453504709	0.4469332452
7711	0.44807301587712	0.44798079171713	0.44797373271714	0.44782987871715	0.44775184471716	0.44759019971717	0.4474748106
718	0.4474043342
719	0.44731734571720	0.44719747372721	0.44710873372722	0.44699652072723	0.44687056672724	0.4467077597725	0.44665471427726	0.4465937417727	0.44651651177728	0.44639151567729	0.4463296267729	0.4451774073
730	0.4450939957
731	0.4449231065
7733	0.4459183591733	0.4447690286
7735	0.44574100677736	0.44571148017737	0.44565191977738	0.44550966877739	0.44544302477740	0.44533181817741	0.44526087974742	0.44518161774743	0.44508058374744	0.44503664774745	0.44498073974746	0.44484755746747	0.44481382747748	0.44467104748	0.4433969172
749	0.4433340453
750751	0.44443208751752	0.44432828752753	0.4442967146
754	0.44421755754755	0.4441253755	0.442811296
756	757	0.4439339757	758	0.4438304758	759	0.4437264759	760	0.4436083760	761	0.4435114761	762	0.443416762	0763	0.443330763	0764	0.443168764	765	0.4430637765	766	0.4429402766	0.4419728722
767	0.4418440554
768	0.4417336989
769	0.4416242601
770	0.4415415116
771	0.4413893743
772	0.4413522131
773	0.4413261586
774	0.4412665437
775	0.4411797349
776	0.4410744562
777	0.4409309346
778	0.4407516971
779	0.440632613
780	0.4406042556
781	0.4405022513
782	0.4404103194
783	0.440313797
784	0.4401755516
785	0.4400886298
786	0787	0.441170787	788	0.4410685788	789	0.4409655789	790	0.4408613790	791	0.4407411978
792	0.440661792	0793	0.4405541456
794	0.440485794	0795	0.440351795	0796	0.440313796	0797	0.440258797	0798	0.44021798	0.799	0.44018799	0.800	0.4400800	0.801	0.44007801	0.802	0.43994802	0.803	0.43987803	0.804	0.43980804	0805	0.439758805	0806	0.439676806	0807	0.439566807	0808	0.439475808	0809	0.4394809	0.4810	0.4393810	0.4811	0.4392811	0.4812	0.4391812	0.4377140683
813	0.4814	0.438814	0.43815	0.43815	0.437816	0.43816	0.437817	0.4386072796
818	0.43818	0.437819	0.43819	0.437820	0.43820	0.437821	0.821	0.43695822	0.822	0.43687823	0.823	0.43681824	0.824	0.4366628253
825	0.4365233209
826	0.43646356
827	0.4364082828	828	0.436285251
829	0.43615416830830	0.43607679831831	0.43598415832832	0.4358860683833	0.4357919673
834	0.43565183183835	0.43555605836836	0.43548673837837	0.43539570838838	0.43531173839839	0.43529865840	0.4366289176
841	0.4365171463
842	0.4363817888
843	0.4363405893
844	0.4362367292
845	0.4360797251
846	0.4360427172
847	0.4359697448
848	0.4358921453
849	0.4357819778
850	0.4357181324
851	0.435648274
852	0.4355071928
853	0.4354380981
854	0.4353310558
855	0.4352992046
856	0.4352181235
857	0.4351506865
858	0.4350472803
859	0.4349423328
860	0.4348106502
861	0.4348055845
862	0.4347302057
863	0.4346593765
864	0.4345641132
865	0.4344836419
866	0.434409098
867	0.4342957646
868	0.4341973283
869	0.4341106809
870	0.4340502056
871	0.433961231
872	0.4338634006
873	0.4337361884
874	0.4336145528
875	0.4334879244
876	0.4333756187
877	0.4333170075
878	0.4331367033
879	0.432993855
880	0.4329160192
881	0.4328614201
882	0.4327764513
883	0.4327238649
884	0.4325870572
885	0.4324917186
886	0.4323662833
887	0.4323066616
888	0.4321521276
889	0.4320525226
890	0.4319574488
891	0.431855923
892	0.4317280616
893	0.4316484331
894	0.4316104696
895	0.4315306974
896	0.4314828703
897	0.4314255509
898	0.4313341562
899	0.431243881
900	0.4311891656
901	0.4311118713
902	0.4310602198
903	0.4309356468
904	0.430872357
905	0.4308672422
906	0.4307540304
907	0.4306544861
908	0.4305623293
909	0.4304936828
910	0.4303979886
911	0.4303355511
912	0.4302507065
913	0.4301905202
914	0.4300849503
915	0.430029428
916	0.4299466636
917	0.429912293
918	0.4298112506
919	0.4297474713
920	0.4296484545
921	0.4295681141
922	0.4294830705
923	0.4293872336
924	0.4293468498
925	0.4292058973
926	0.4291647524
927	0.4290616081
928	0.4289665902
929	0.4288844163
930	0.4288031555
931	0.428717695
932	0.4286475241
933	0.4286377217
934	0.4285385194
935	0.4284549743
936	0.4284202232
937	0.4284035104
938	0.4282987192
939	0.4281849318
940	0.4281630279
941	0.4280935198
942	0.4279641333
943	0.4278688311
944	0.4277769832
945	0.4276761175
946	0.427658364
947	0.4276538164
948	0.4275921647
949	0.4274523231
950	0.4273494829
951	0.4273211879
952	0.4272439448
953	0.4271130244
954	0.4271071171
955	0.4270514581
956	0.4270482624
957	0.4270068569958	0.4269394804
959	0.4268275595
960	0.4268017573
961	0.4267116954
962	0.4266566843
963	0.4265328396
964	0.4264489658
965	0.426337784
966	0.4262654429
967	0.4261357039
968	0.4260392399
969	0.4260020989
970	0.425879692
971	0.425811527
972	0.4257040865
973	0.4256062612
974	0.4255035477
975	0.4254191837
976	0.4253903381
977	0.4253263333
978	0.4252428137
979	0.42521911
980	0.4251424435
981	0.4251240478
982	0.4250521833
983	0.4249148349
984	0.4248374545
985	0.4247512442
986	0.4247460017
987	0.4246002091
988	0.4244310972
989	0.424329718
990	0.4242471294
991	0.4241408174
992	0.424032377
993	0.4239558708
994	0.4238831718
995	0.423760878
996	0.4236819384
997	0.4236264356
998	0.4235256111
999	0.4234346822
619268
