,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
51,Portuguesa,-22.799774720082098,-43.20721561994059,Brazuka Grill,-22.79935481997485,-43.20275960986401,Bar
52,Portuguesa,-22.799774720082098,-43.20721561994059,Scooby Rações,-22.79600490478757,-43.209077475297946,Pet Service
53,Barros Filho,-22.834961004774282,-43.36416672058039,Praça De Honório Gurgel,-22.83889255094688,-43.362403291721165,Plaza
54,Barros Filho,-22.834961004774282,-43.36416672058039,Lan house Eficácia Informática,-22.833377760789354,-43.366106938855204,Arcade
55,Barros Filho,-22.834961004774282,-43.36416672058039,Pet Shop 4 de Março,-22.837835012268613,-43.361573938652135,Pet Store
56,Barros Filho,-22.834961004774282,-43.36416672058039,Bartista,-22.83912432167671,-43.36287450891356,Brewery
57,Tauá,-22.797700113397866,-43.1866464442446,Panificação & Confeitaria Vale de Cambra,-22.79902683022264,-43.186970819375,Bakery
58,Tauá,-22.797700113397866,-43.1866464442446,Pastel Mania,-22.79545620653807,-43.18252253840228,Pastelaria
59,Tauá,-22.797700113397866,-43.1866464442446,Subway,-22.795613732378175,-43.18337661147338,Sandwich Place
60,Tauá,-22.797700113397866,-43.1866464442446,BR Mania - Posto Insulano,-22.798677303070377,-43.18632922382142,Shop & Service
61,Tauá,-22.797700113397866,-43.1866464442446,Kilo Frut,-22.79561298779537,-43.18338214329362,Snack Place
62,Tauá,-22.797700113397866,-43.1866464442446,Rei do Bolinho de Bacalhau,-22.795611412660136,-43.18337770328501,Seafood Restaurant
63,Tauá,-22.797700113397866,-43.1866464442446,Drogarias Pacheco,-22.79561059541508,-43.183381538926206,Drugstore
64,Tauá,-22.797700113397866,-43.1866464442446,Panificação Tauá,-22.79561002929422,-43.18337794935868,Bakery
65,Tauá,-22.797700113397866,-43.1866464442446,Quiosque do Penetra,-22.797741497759464,-43.185723770809766,Food Truck
66,Tauá,-22.797700113397866,-43.1866464442446,Supermercados Mundial,-22.795606338882852,-43.18338817842611,Supermarket
67,Tauá,-22.797700113397866,-43.1866464442446,Feira livre do Tauá,-22.797786879899864,-43.185765796373936,Farmers Market
68,Tauá,-22.797700113397866,-43.1866464442446,Rey Da Linguiça No Pão,-22.798905107506105,-43.18647092103083,Brazilian Restaurant
69,Tauá,-22.797700113397866,-43.1866464442446,Nice Hair,-22.798317129307225,-43.188400219695026,Health & Beauty Service
70,Tauá,-22.797700113397866,-43.1866464442446,Aquarius - Espaço Saúde e Beleza,-22.797763908612943,-43.18497188059886,Spa
71,Tauá,-22.797700113397866,-43.1866464442446,Droganews,-22.796613482831187,-43.184621940446064,Pharmacy
72,Tauá,-22.797700113397866,-43.1866464442446,Doces e descartáveis,-22.795612002785692,-43.18337627441654,Bagel Shop
73,Tauá,-22.797700113397866,-43.1866464442446,Mercearia Xaxa Dendê,-22.798204020001243,-43.191019786310804,Grocery Store
74,Tauá,-22.797700113397866,-43.1866464442446,Rua Capanema,-22.794329,-43.183544,Pedestrian Plaza
75,Tauá,-22.797700113397866,-43.1866464442446,Mamede Judô,-22.798637647782986,-43.19138386691121,Martial Arts School
76,Flamengo,-22.934710781954674,-43.17418204972766,Pista de Corrida Aterro do Flamengo,-22.935257489420614,-43.17425504287677,Track
77,Flamengo,-22.934710781954674,-43.17418204972766,Boteco Belmonte,-22.935104478108386,-43.17425527850102,Dive Bar
78,Flamengo,-22.934710781954674,-43.17418204972766,Julieta Restaurante,-22.936378189805595,-43.17447483074532,French Restaurant
79,Flamengo,-22.934710781954674,-43.17418204972766,Churrascaria Majórica,-22.933660978477047,-43.176457017501605,Churrascaria
80,Flamengo,-22.934710781954674,-43.17418204972766,Paris Lounge,-22.936352890871298,-43.1741072808994,Lounge
81,Flamengo,-22.934710781954674,-43.17418204972766,Julieta Bar,-22.936355928615626,-43.17409071473554,Cocktail Bar
82,Flamengo,-22.934710781954674,-43.17418204972766,Série Delta,-22.93659115015072,-43.17317661169454,Track
83,Flamengo,-22.934710781954674,-43.17418204972766,Tacacá do Norte,-22.933035730871204,-43.176717484747414,Brazilian Restaurant
