,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
157,Jardim Carioca,-22.805672456120156,-43.193000392997824,Sushi Mix,-22.805010933387383,-43.19765358061739,Sushi Restaurant
159,Jardim Carioca,-22.805672456120156,-43.193000392997824,Restaurante e Pizzaria Zamak,-22.8088712668956,-43.19586653665789,Brazilian Restaurant
161,Jardim Carioca,-22.805672456120156,-43.193000392997824,Caju Lanches,-22.80626052526364,-43.19640597409987,Fast Food Restaurant
163,Jardim Carioca,-22.805672456120156,-43.193000392997824,Açaí Lanches,-22.80658025504359,-43.19203478058526,Burger Joint
166,Pavuna,-22.812686970311017,-43.3601047357289,Point da Família,-22.815724686605826,-43.36060791343428,Burger Joint
167,Pavuna,-22.812686970311017,-43.3601047357289,Padaria do Russo,-22.81441267408113,-43.36116189025925,Bakery
168,Pavuna,-22.812686970311017,-43.3601047357289,Flor da Pavuna - Padaria e Confeitaria,-22.80876357688467,-43.36194318477847,Bakery
171,Pavuna,-22.812686970311017,-43.3601047357289,Esquina do Russo,-22.815682646579088,-43.360964052326906,Bar
173,Pavuna,-22.812686970311017,-43.3601047357289,Bazileu,-22.80845876105603,-43.360383925122775,Bar
177,Pavuna,-22.812686970311017,-43.3601047357289,Dino's Lanches,-22.815801999999998,-43.357327000000005,Burger Joint
185,Parada de Lucas,-22.81569466284975,-43.300853800484674,Restaurante Sheknah,-22.815853,-43.301333,Brazilian Restaurant
190,Parada de Lucas,-22.81569466284975,-43.300853800484674,Pescoção Lanches,-22.814071482012935,-43.298417847191416,Burger Joint
191,Parada de Lucas,-22.81569466284975,-43.300853800484674,manels bar,-22.817698145057072,-43.30352819620733,Restaurant
193,Parada de Lucas,-22.81569466284975,-43.300853800484674,Lanchonete da Rosa,-22.81327298664125,-43.2985216481789,Pizza Place
194,Parada de Lucas,-22.81569466284975,-43.300853800484674,Bonde das pizzas,-22.81259645075809,-43.297323205492894,Pizza Place
199,Cordovil,-22.818924522298378,-43.29268320621141,Pensão da Elza,-22.81914621482328,-43.29055193722304,Brazilian Restaurant
200,Cordovil,-22.818924522298378,-43.29268320621141,padaria do flamengo,-22.816743055354557,-43.293595582251946,Bakery
201,Cordovil,-22.818924522298378,-43.29268320621141,Lanchonete da Elza,-22.8160457611084,-43.292964935302734,Burger Joint
203,Cordovil,-22.818924522298378,-43.29268320621141,Thata's Lanches,-22.816589999999998,-43.29052,Burger Joint
204,Cordovil,-22.818924522298378,-43.29268320621141,Super Hot,-22.822326999999998,-43.293673999999996,Burger Joint
209,Jardim Guanabara,-22.8128687571129,-43.20205745949093,Restaurante Lagostinne,-22.815888496046444,-43.20565803414581,Seafood Restaurant
